"Material","Formula","thickness1","price1","thickness2","price2","thickness3","price3","thickness4","price4","thickness5","price5","thickness6","price6","thickness7","price7","thickness8","price8","thickness9","price9","thickness10","price10","thickness11","price11","thickness12","price12","thickness13","price13","thickness14","price14","thickness15","price15","thickness16","price16","thickness17","price17","thickness18","price18","thickness19","price19","thickness20","price20","thickness21","price21","thickness22","price22","thickness23","price23","thickness24","price24","thickness25","price25","thickness26","price26","thickness27","price27","thickness28","price28","thickness29","price29","thickness30","price30","thickness31","price31","thickness32","price32","thickness33","price33","thickness34","price34","thickness35","price35","thickness36","price36","thickness37","price37","thickness38","price38","thickness39","price39","thickness40","price40","thickness41","price41","thickness42","price42","thickness43","price43","thickness44","price44","thickness45","price45","thickness46","price46","thickness47","price47","thickness48","price48"
"Selenium","Se",3,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SiliconCrystal","Si",0.38,164,0.5,105,0.6,105,1,173,2,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SiliconCarbide","SiC",2,189,4,141,5,244,6,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silver","Ag",0.001,244,0.002,234,0.0025,225,0.003,164,0.004,207,0.005,199,0.006,191,0.007,190,0.008,145,0.009,176,0.01,144,0.0125,140,0.015,141,0.02,140,0.025,96,0.03,115,0.035,99,0.05,99,0.06,121,0.075,99.5,0.09,212,0.1,113,0.125,96,0.15,112,0.2,94,0.25,96.5,0.3,129,0.5,90.5,1,102,2,118,3,273,6,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SilverChloride","AgCl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sodium","Na",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SodiumChloride","NaCl",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StrontiumTitanate","SrTiO3",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tantalum","Ta",0.0005,323,0.001,269,0.0015,219,0.002,220,0.0025,209,0.003,201,0.004,187,0.005,173,0.006,161,0.0075,131,0.009,133,0.01,146,0.0125,143,0.015,137,0.02,63,0.025,101,0.03,67.5,0.034,110,0.04,94,0.05,115,0.075,96.5,0.1,97,0.125,101,0.15,103,0.2,108,0.25,108,0.3,112,0.4,118,0.5,112,0.75,113,1,118,1.5,196,2,125,3,296,4,371,5,446,6,522,,,,,,,,,,,,,,,,,,,,,,
"TantalumCarbide","TaC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tellurium","Te",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terbium","Tb",0.025,288,0.1,289,0.6,316,1,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thorium","Th",0.0125,847,0.025,792,0.05,698,0.064,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thulium","Tm",0.002,333,0.005,361,0.025,378,0.1,317,0.15,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tin","Sn",0.0005,263,0.001,248,0.002,238,0.0025,229,0.003,330,0.004,211,0.005,289,0.006,130,0.007,125,0.008,185,0.009,119,0.01,113,0.0125,108,0.015,142,0.02,141,0.025,79,0.03,103,0.05,74.5,0.058,95.5,0.06,128,0.072,83.5,0.075,84.5,0.084,85.5,0.088,216,0.096,89.5,0.1,80,0.125,132,0.109,91,0.125,69,0.15,80,0.2,71,0.25,71,0.44,148,0.5,72.5,0.65,121,0.75,124,1,67,1.5,293,2,92,3,159,6,190,,,,,,,,,,,,,,
"TinOxide","SnO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Titanium","Ti",0.001,519,0.002,329,0.0025,316,0.003,304,0.004,281,0.005,216,0.006,256,0.007,255,0.008,210,0.009,237,0.01,143,0.012,142,0.0125,134,0.015,124,0.02,120,0.025,86,0.03,96,0.05,77,0.075,101,0.1,105,0.125,79.5,0.14,80.5,0.2,84.5,0.25,86,0.3,125,0.38,90.5,0.45,425,0.5,81,0.7,87,1,78.5,1.2,180,1.5,91,2,92.5,3,120,3.2,184,5,76,,,,,,,,,,,,,,,,,,,,,,,,
"TitaniumDiboride","TiB2",3,294,3.25,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tungsten","W",0.003,505,0.004,402,0.005,379,0.006,346,0.007,322,0.008,295,0.009,286,0.01,276,0.0125,245,0.015,211,0.016,91,0.02,105,0.025,109,0.035,87,0.04,86.5,0.05,90.5,0.075,117,0.076,95,0.08,88.5,0.1,92,0.125,157,0.15,165,0.2,93,0.25,156,0.3,114,0.4,221,0.5,98,0.6,105,0.7,245,1,128,1.6,238,2,135,3,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TungstenTrioxide","WO3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uranium","U",0.025,570,0.5,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vanadium","V",0.001,402,0.002,369,0.003,326,0.004,317,0.005,302,0.006,299,0.007,296,0.008,294,0.01,276,0.0125,260,0.015,237,0.02,212,0.025,124,0.04,130,0.1,272,0.125,163,0.2,165,0.25,172,0.4,184,0.5,194,1,247,2,268,3.15,319,6,95928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ytterbium","Yb",0.005,641,0.025,307,0.125,279,0.25,329,0.8,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yttrium","Y",0.005,689,0.025,268,0.1,218,0.125,209,0.15,219,0.25,229,0.5,215,1,166,2,203,3,196,6,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
